Strain	Accession	Year	Continent	Region	Country	Source	Genotype	Source
MDUST250	ERR352473	2010	Asia	Southeast Asia	Indonesia	Blood	0.0.2	"Wong et al, 2015 (global framework)"
MDUST261	ERR352474	2011	Unknown	Unknown 	Unknown	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST117	ERR352430	2009	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST268	ERR352475	2011	Unknown	Unknown 	Unknown	Blood	2.5.0	"Wong et al, 2015 (global framework)"
MDUST276	ERR352476	1994	Australia & Oceania	Oceania 	Papua New Guinea	Stool	2.1.7	"Wong et al, 2015 (global framework)"
MDUST278	ERR352477	2001	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST279	ERR352478	2002	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST282	ERR352479	2004	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST283	ERR352480	2004	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST286	ERR352481	2005	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST287	ERR352482	2007	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST288	ERR352483	2007	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST289	ERR352484	2008	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST118	ERR352431	2009	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST291	ERR352485	2008	Australia & Oceania	Oceania 	Samoa	Stool	3.5.4	"Wong et al, 2015 (global framework)"
MDUST292	ERR352486	2008	Australia & Oceania	Oceania 	Samoa	Blood	3.5.3	"Wong et al, 2015 (global framework)"
MDUST296	ERR352487	2010	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST297	ERR352488	2011	Unknown	Unknown 	Unknown	Blood	3.5.3	"Wong et al, 2015 (global framework)"
MDUST298	ERR352489	1998	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST299	ERR352490	1998	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST300	ERR352491	1998	Australia & Oceania	Oceania 	Papua New Guinea	Stool	2.1.7	"Wong et al, 2015 (global framework)"
MDUST301	ERR352492	1988	Asia	South Asia	India	Stool	2.1.7	"Wong et al, 2015 (global framework)"
MDUST313	ERR352493	1994	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST321	ERR352494	1983	Australia & Oceania	Oceania 	Fiji	Blood	4.2.1	"Wong et al, 2015 (global framework)"
MDUST125	ERR352432	2011	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST322	ERR352495	1983	Australia & Oceania	Oceania 	Fiji	Blood	2.3.5	"Wong et al, 2015 (global framework)"
MDUST330	ERR352496	1992	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST331	ERR352497	1992	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST336	ERR352498	1993	Australia & Oceania	Oceania 	Fiji	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST339	ERR352499	1984	Australia & Oceania	Oceania 	Fiji	Stool	2.3.5	"Wong et al, 2015 (global framework)"
MDUST348	ERR352500	1985	Australia & Oceania	Oceania 	Papua New Guinea	Unknown	2.1.7	"Wong et al, 2015 (global framework)"
MDUST351	ERR352501	1985	Australia & Oceania	Oceania 	Fiji	Stool	3.5.1	"Wong et al, 2015 (global framework)"
MDUST352	ERR352502	1986	Australia & Oceania	Oceania 	Fiji	Blood	2.3.5	"Wong et al, 2015 (global framework)"
MDUST358	ERR352503	1996	Australia & Oceania	Oceania 	Papua New Guinea	Stool	2.1.7	"Wong et al, 2015 (global framework)"
MDUST368	ERR352504	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST126	ERR352433	2010	Asia	Southeast Asia	Malaysia	Blood	2.2.1	"Wong et al, 2015 (global framework)"
MDUST383	ERR352505	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST388	ERR352506	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST389	ERR352507	2011	Asia	Southeast Asia	Indonesia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST401	ERR352508	2012	Asia	South Asia	Bangladesh	Blood	2.0.1	"Wong et al, 2015 (global framework)"
MDUST402	ERR352509	2012	Asia	South Asia	Afghanistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST407	ERR352510	2007	Asia	Western Asia	Lebanon	Stool	2.2.2	"Wong et al, 2015 (global framework)"
MDUST415	ERR352511	2012	Unknown	Unknown 	Unknown	Blood	3.0.0	"Wong et al, 2015 (global framework)"
MDUST128	ERR352434	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn40	ERR352607	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc84	ERR352608	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn126	ERR352609	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc81	ERR352611	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn192	ERR352612	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn152	ERR352613	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc76	ERR352614	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn95	ERR352615	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn182	ERR352616	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
3592/3	ERR352599	2011	Africa	Central Africa	DRC	Blood	2.5.1	"Wong et al, 2015 (global framework)"
dtc109	ERR352617	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn38	ERR352618	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn122	ERR352619	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn154	ERR352620	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn67	ERR352621	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn174	ERR352623	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn145	ERR352624	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn56	ERR352625	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc115	ERR352626	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn113	ERR352627	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn26	ERR352628	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn137	ERR352629	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn178	ERR352631	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn22	ERR352632	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn89	ERR352633	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc80	ERR352635	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn21	ERR352636	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn176	ERR352637	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn148	ERR352638	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn149	ERR352639	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn123	ERR352640	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc57	ERR352641	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc90	ERR352642	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-201	ERR352643	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-224	ERR352644	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ct1-105	ERR352645	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-202	ERR352646	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
3306/3	ERR352602	2011	Africa	Central Africa	DRC	Blood	2.5.1	"Wong et al, 2015 (global framework)"
ty3-226	ERR352647	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ct1-107	ERR352648	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-205	ERR352649	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-243	ERR352650	1998	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ipt51	ERR352651	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-206	ERR352652	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dty1-80	ERR352654	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-173	ERR352655	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-207	ERR352656	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-254	ERR352657	1998	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ct1-66	ERR352658	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
as118	ERR352659	1998	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ipt61	ERR352661	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-191	ERR352662	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-269	ERR352663	1998	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
as250	ERR352665	1999	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-211	ERR352667	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ct1-70	ERR352669	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
as252	ERR352671	1999	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
3322/3	ERR352604	2011	Africa	Central Africa	DRC	Blood	2.5.1	"Wong et al, 2015 (global framework)"
ty3-194	ERR352673	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ipt83	ERR352677	1998	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-196	ERR352679	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-222	ERR352681	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-197	ERR352685	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-213	ERR352687	1997	Asia	Southeast Asia	Vietnam	Blood	3.2.1	"Wong et al, 2015 (global framework)"
ct1-69	ERR352689	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ipt16	ERR352691	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn51	ERR352605	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ipt19	ERR352697	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-199	ERR352699	1997	Asia	Southeast Asia	Vietnam	Blood	3.2.1	"Wong et al, 2015 (global framework)"
ty2-105	ERR352703	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-138	ERR352705	1994	Asia	Southeast Asia	Vietnam	Blood	4.1.0	"Wong et al, 2015 (global framework)"
ty2-106	ERR352709	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-141	ERR352711	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn17	ERR352606	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-143	ERR352713	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-113	ERR352715	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-116	ERR352717	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-133	ERR352719	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-154	ERR352721	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-119	ERR352725	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ST1134/01	ERR353330	2001	South America	South America	Argentina	Stool	2.0.0	"Wong et al, 2015 (global framework)"
ST1197/88	ERR353331	1988	South America	South America	Argentina	Urine	2.3.3	"Wong et al, 2015 (global framework)"
ST1309/04	ERR353332	2004	South America	South America	Argentina	Blood	2.3.3	"Wong et al, 2015 (global framework)"
ST1625/88	ERR353334	1988	South America	South America	Argentina	Stool	4.1.0	"Wong et al, 2015 (global framework)"
ST1921/06	ERR353335	2006	South America	South America	Argentina	Stool	2.3.3	"Wong et al, 2015 (global framework)"
ST2338/98	ERR353336	1905	South America	South America	Argentina	Blood	2.3.3	"Wong et al, 2015 (global framework)"
ST3090/99	ERR353338	1999	South America	South America	Argentina	Stool	2.0.0	"Wong et al, 2015 (global framework)"
ST472/01 	ERR353339	1905	South America	South America	Argentina	Stool	4.1.0	"Wong et al, 2015 (global framework)"
ST805/02 	ERR353340	2002	South America	South America	Argentina	Stool	2.3.2	"Wong et al, 2015 (global framework)"
ST821/98 	ERR353341	1905	South America	South America	Argentina	Stool	4.1.0	"Wong et al, 2015 (global framework)"
ST860/95 	ERR353342	1905	South America	South America	Argentina	Stool	2.3.2	"Wong et al, 2015 (global framework)"
MDUST107	ERR352941	2007	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST181	ERR352943	2011	Unknown	Unknown 	Unknown	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST186	ERR352944	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST188	ERR352945	2011	Asia	Southeast Asia	Indonesia	Blood	3.0.0	"Wong et al, 2015 (global framework)"
MDUST189	ERR352946	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST208	ERR352947	2010	Australia & Oceania	Australia 	Australia	Blood	2.2.1	"Wong et al, 2015 (global framework)"
MDUST209	ERR352948	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST210	ERR352949	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST212	ERR352950	2011	Asia	South Asia	India	Blood	2.2.2	"Wong et al, 2015 (global framework)"
MDUST213	ERR352951	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST219	ERR352952	2011	Asia	Western Asia	Lebanon	Stool	2.2.2	"Wong et al, 2015 (global framework)"
MDUST111	ERR352942	2008	Africa	North Africa	Sudan	Urine	3.3.0	"Wong et al, 2015 (global framework)"
MDUST224	ERR352953	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST225	ERR352954	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST277	ERR357447	2001	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST281	ERR357449	2002	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST284	ERR357450	2004	Australia & Oceania	Oceania 	Samoa	Blood	4.1.0	"Wong et al, 2015 (global framework)"
MDUST285	ERR357451	2004	Australia & Oceania	Oceania 	Samoa	Blood	4.1.0	"Wong et al, 2015 (global framework)"
MDUST293	ERR357452	2009	Australia & Oceania	Oceania 	Papua New Guinea	Stool	2.1.7	"Wong et al, 2015 (global framework)"
MDUST294	ERR357453	2010	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST303	ERR357454	1980	Australia & Oceania	Oceania 	Tonga	Unknown	4.2.0	"Wong et al, 2015 (global framework)"
MDUST114	ERR357440	2009	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST304	ERR357455	1990	Australia & Oceania	Oceania 	Papua New Guinea	Stool	2.1.7	"Wong et al, 2015 (global framework)"
MDUST305	ERR357456	1990	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST306	ERR357457	1981	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST309	ERR357459	1981	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.0	"Wong et al, 2015 (global framework)"
MDUST311	ERR357460	1982	Australia & Oceania	Oceania 	Fiji	Stool	4.2.0	"Wong et al, 2015 (global framework)"
MDUST312	ERR357461	1982	Australia & Oceania	Oceania 	Fiji	Stool	4.2.0	"Wong et al, 2015 (global framework)"
MDUST315	ERR357462	1991	Australia & Oceania	Oceania 	Vanuatu	Stool	4.1.0	"Wong et al, 2015 (global framework)"
MDUST316	ERR357463	1982	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.0	"Wong et al, 2015 (global framework)"
MDUST317	ERR357464	1982	Australia & Oceania	Oceania 	Fiji	Knee aspirate	4.2.1	"Wong et al, 2015 (global framework)"
MDUST138	ERR357441	2012	Asia	Southeast Asia	Myanmar	Stool	3.3.1	"Wong et al, 2015 (global framework)"
MDUST318	ERR357465	1982	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.0	"Wong et al, 2015 (global framework)"
MDUST320	ERR357466	1983	Australia & Oceania	Oceania 	Fiji	Stool	4.2.1	"Wong et al, 2015 (global framework)"
MDUST323	ERR357467	1983	Australia & Oceania	Oceania 	Fiji	Blood	4.2.1	"Wong et al, 2015 (global framework)"
MDUST325	ERR357468	1992	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST327	ERR357469	1992	Australia & Oceania	Oceania 	Fiji	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST329	ERR357470	1992	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST332	ERR357471	1992	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST333	ERR357472	1992	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST334	ERR357473	1984	Australia & Oceania	Oceania 	Fiji	Blood	3.0.0	"Wong et al, 2015 (global framework)"
MDUST340	ERR357474	1993	Australia & Oceania	Oceania 	Fiji	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST155	ERR357442	2012	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST341	ERR357475	1993	Australia & Oceania	Oceania 	Fiji	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST342	ERR357476	1993	Australia & Oceania	Oceania 	Fiji	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST344	ERR357477	1985	Australia & Oceania	Oceania 	Fiji	Stool	4.2.1	"Wong et al, 2015 (global framework)"
MDUST345	ERR357478	1985	Australia & Oceania	Oceania 	Papua New Guinea	Unknown	2.1.7	"Wong et al, 2015 (global framework)"
MDUST349	ERR357479	1985	Australia & Oceania	Oceania 	Fiji	Stool	2.3.5	"Wong et al, 2015 (global framework)"
MDUST356	ERR357480	1994	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST360	ERR357481	1998	Australia & Oceania	Oceania 	Papua New Guinea	Stool	2.1.7	"Wong et al, 2015 (global framework)"
MDUST160	ERR357443	2012	Asia	South Asia	India	Stool	3.0.2	"Wong et al, 2015 (global framework)"
MDUST164	ERR357444	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST178	ERR357445	2011	Asia	Southeast Asia	EastTimor	Stool	2.1.0	"Wong et al, 2015 (global framework)"
MDUST180	ERR357446	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np4	ERR357576	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np95	ERR357585	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np8	ERR357587	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np44	ERR357588	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np75	ERR357589	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np97	ERR357590	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
3632/3	ERR357591	2011	Africa	Central Africa	DRC	Blood	2.5.1	"Wong et al, 2015 (global framework)"
3139/3	ERR357592	2010	Africa	Central Africa	DRC	Blood	2.5.1	"Wong et al, 2015 (global framework)"
H12ESR01052-001A	ERR357593	2012	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
np11	ERR357594	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np41	ERR357577	2011	Asia	South Asia	Nepal	Blood	3.3.0	"Wong et al, 2015 (global framework)"
